ROWID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL
136,101675,102800,1028,Miles College,Fairfield,AL,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/005/09c/0e9/0dec2e2.png
137,101693,102900,1029,University of Mobile,Mobile,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/0013/2470/brand.gif?itok=fJUCDuj10
138,101709,100400,1004,University of Montevallo,Montevallo,AL,http://www.weisradio.com/wp-content/uploads/2013/05/GSCC-Logo.jpg
139,101736,569700,5697,Northwest-Shoals Community College,Muscle Shoals,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
140,101879,101600,1016,University of North Alabama,Florence,AL,http://www.wallace.edu/images/ftr_logo.jpg
141,101897,103100,1031,Northeast Alabama Community College,Rainsville,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
142,101912,103300,1033,Oakwood University,Huntsville,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
143,101949,103400,1034,Alabama Southern Community College,Monroeville,AL,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
144,101958,2296000,22960,Prince Institute-Southeast,Montgomery,AL,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
145,101994,569200,5692,Reid State Technical College,Evergreen,AL,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
146,102030,103000,1030,Bishop State Community College,Mobile,AL,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
147,102049,103600,1036,Samford University,Birmingham,AL,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
148,102058,4067300,40673,Selma University,Selma,AL,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
149,102067,569100,5691,Shelton State Community College,Tuscaloosa,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
150,102076,103800,1038,Snead State Community College,Boaz,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
151,102094,105700,1057,University of South Alabama,Mobile,AL,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
152,102234,104100,1041,Spring Hill College,Mobile,AL,http://www.meridys.com/images/stories/logos/cvcclogo.png
153,102261,2270400,22704,Southeastern Bible College,Birmingham,AL,http://www.collegeatlas.org/wp-content/uploads/2014/04/concordia-college-selma.jpg
154,102270,104400,1044,Stillman College,Tuscaloosa,AL,http://open-site.org/img/logos/101116.jpg
155,102298,104600,1046,Talladega College,Talladega,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/082014/enterprise_state_community_college.jpg?itok=QxPCPadw
156,102313,573400,5734,H Councill Trenholm State Technical College,Montgomery,AL,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/005/09c/0e9/0dec2e2.png
